









Frequency of observations in the selected location(s).:
Number of taxa: 	169

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Belted Kingfisher (<em class="sci">Megaceryle alcyon</em>)	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.08333333333333333	0.0	0.041666666666666664	0.06666666666666667	0.2	0.08333333333333333	0.10714285714285714	0.05555555555555555	0.0	0.05	0.09090909090909091	0.06666666666666667	0.25	0.0	0.08333333333333333	0.125	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	
Red-bellied Woodpecker (<em class="sci">Melanerpes carolinus</em>)	0.6666666666666666	0.25	0.5	0.42857142857142855	0.42857142857142855	0.5	0.42857142857142855	0.5	0.7142857142857143	0.4166666666666667	0.3076923076923077	0.4583333333333333	0.3333333333333333	0.5	0.5	0.6785714285714286	0.6666666666666666	0.5416666666666666	0.55	0.6818181818181818	0.7333333333333333	0.75	0.6428571428571429	0.4166666666666667	0.125	0.0	0.5714285714285714	0.125	0.25	0.18181818181818182	0.3	0.35714285714285715	0.2727272727272727	0.5	0.6363636363636364	0.7142857142857143	0.5833333333333334	0.6	0.36363636363636365	0.5	0.6666666666666666	0.16666666666666666	0.42857142857142855	0.25	0.6666666666666666	0.3333333333333333	0.0	0.0	
Yellow-bellied Sapsucker (<em class="sci">Sphyrapicus varius</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.041666666666666664	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Downy Woodpecker (<em class="sci">Picoides pubescens</em>)	0.8333333333333334	1.0	0.75	0.8571428571428571	0.5714285714285714	0.6666666666666666	0.42857142857142855	0.6666666666666666	0.42857142857142855	0.6666666666666666	0.46153846153846156	0.5833333333333334	0.6666666666666666	0.75	0.7083333333333334	0.6071428571428571	0.6111111111111112	0.4583333333333333	0.75	0.22727272727272727	0.3333333333333333	0.5	0.42857142857142855	0.5833333333333334	0.75	0.5	0.8571428571428571	0.75	0.875	0.18181818181818182	0.3	0.42857142857142855	0.18181818181818182	0.625	0.2727272727272727	0.35714285714285715	0.6666666666666666	0.7	0.5454545454545454	0.5714285714285714	0.7777777777777778	0.5	0.5714285714285714	0.875	0.5	0.3333333333333333	0.3333333333333333	0.7142857142857143	
Hairy Woodpecker (<em class="sci">Picoides villosus</em>)	1.0	0.5	0.375	0.5714285714285714	0.42857142857142855	0.5	0.7142857142857143	0.5	0.5714285714285714	0.5	0.6923076923076923	0.5416666666666666	0.4	0.5	0.375	0.32142857142857145	0.3333333333333333	0.2916666666666667	0.3	0.09090909090909091	0.2	0.125	0.2857142857142857	0.16666666666666666	0.375	0.5	0.14285714285714285	0.25	0.5	0.2727272727272727	0.4	0.21428571428571427	0.6363636363636364	0.25	0.6363636363636364	0.42857142857142855	0.25	0.5	0.6363636363636364	0.5714285714285714	0.6666666666666666	0.16666666666666666	0.5714285714285714	0.375	0.5	0.3333333333333333	0.0	1.0	
Downy/Hairy Woodpecker (<em class="sci">Picoides pubescens/villosus</em>)	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Flicker (<em class="sci">Colaptes auratus</em>)	0.3333333333333333	0.0	0.125	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.08333333333333333	0.0	0.125	0.3333333333333333	0.65	0.8333333333333334	0.7857142857142857	0.7777777777777778	0.7916666666666666	0.75	0.45454545454545453	0.4	0.4375	0.5714285714285714	0.3333333333333333	0.25	0.75	0.5714285714285714	0.75	0.875	0.36363636363636365	0.6	0.35714285714285715	0.2727272727272727	0.75	0.7272727272727273	0.8571428571428571	0.5	0.5	0.09090909090909091	0.14285714285714285	0.0	0.0	0.14285714285714285	0.25	0.0	0.0	0.0	0.0	
Pileated Woodpecker (<em class="sci">Dryocopus pileatus</em>)	0.0	0.25	0.125	0.0015	0.14285714285714285	0.16666666666666666	0.14285714285714285	0.16666666666666666	0.0	0.08333333333333333	0.15384615384615385	0.08333333333333333	0.2	0.2	0.125	0.07142857142857142	0.16666666666666666	0.125	0.2	0.045454545454545456	0.0	0.0625	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.14285714285714285	0.0	0.0	0.09090909090909091	0.14285714285714285	0.0	0.2	0.0	0.07142857142857142	0.1111111111111111	0.0	0.14285714285714285	0.25	0.0	0.0	0.0	0.14285714285714285	
American Kestrel (<em class="sci">Falco sparverius</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.041666666666666664	0.03571428571428571	0.1111111111111111	0.0	0.05	0.045454545454545456	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.14285714285714285	0.125	0.125	0.0	0.1	0.0	0.09090909090909091	0.0	0.09090909090909091	0.14285714285714285	0.0	0.2	0.09090909090909091	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Merlin (<em class="sci">Falco columbarius</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.09090909090909091	0.2857142857142857	0.16666666666666666	0.0	0.09090909090909091	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Wood-Pewee (<em class="sci">Contopus virens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.3	0.5909090909090909	0.8	0.9375	0.7857142857142857	0.6666666666666666	0.75	0.5	0.7142857142857143	0.875	0.625	0.45454545454545453	0.8	0.6428571428571429	0.7272727272727273	0.375	0.2727272727272727	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-bellied Flycatcher (<em class="sci">Empidonax flaviventris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.09090909090909091	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Alder Flycatcher (<em class="sci">Empidonax alnorum</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.2	0.1875	0.14285714285714285	0.0	0.125	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Willow Flycatcher (<em class="sci">Empidonax traillii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.041666666666666664	0.1	0.2727272727272727	0.0	0.0625	0.0	0.16666666666666666	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Flycatcher (<em class="sci">Empidonax minimus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Phoebe (<em class="sci">Sayornis phoebe</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.041666666666666664	0.2	0.45	0.3333333333333333	0.21428571428571427	0.5	0.2916666666666667	0.15	0.2727272727272727	0.06666666666666667	0.25	0.21428571428571427	0.3333333333333333	0.0	0.5	0.42857142857142855	0.0	0.5	0.36363636363636365	0.1	0.07142857142857142	0.0	0.0	0.2727272727272727	0.21428571428571427	0.16666666666666666	0.1	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Crested Flycatcher (<em class="sci">Myiarchus crinitus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.625	0.65	0.9090909090909091	0.8	0.875	0.42857142857142855	0.8333333333333334	0.75	0.75	0.8571428571428571	1.0	0.875	0.45454545454545453	0.9	0.21428571428571427	0.2727272727272727	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Kingbird (<em class="sci">Tyrannus tyrannus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.5	0.5	0.6363636363636364	0.4	0.25	0.21428571428571427	0.5	0.375	0.5	0.8571428571428571	0.875	1.0	0.5454545454545454	0.8	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-headed Vireo (<em class="sci">Vireo solitarius</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.08333333333333333	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Philadelphia Vireo (<em class="sci">Vireo philadelphicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Warbling Vireo (<em class="sci">Vireo gilvus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.5	0.5454545454545454	0.26666666666666666	0.3125	0.14285714285714285	0.08333333333333333	0.25	0.0	0.14285714285714285	0.25	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-eyed Vireo (<em class="sci">Vireo olivaceus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.5	0.7272727272727273	0.8666666666666667	0.75	0.9285714285714286	0.5	0.75	0.75	0.7142857142857143	0.75	0.625	0.2727272727272727	0.6	0.2857142857142857	0.18181818181818182	0.375	0.09090909090909091	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue Jay (<em class="sci">Cyanocitta cristata</em>)	0.5	0.5	0.5	0.2857142857142857	0.14285714285714285	0.3333333333333333	0.0	0.5	0.42857142857142855	0.5	0.38461538461538464	0.4583333333333333	0.4666666666666667	0.45	0.75	0.8214285714285714	0.9444444444444444	0.8333333333333334	0.95	0.7727272727272727	0.8	0.875	0.7857142857142857	1.0	0.875	1.0	1.0	0.75	0.875	0.7272727272727273	0.9	0.9285714285714286	0.9090909090909091	0.875	1.0	1.0	0.75	0.9	0.8181818181818182	0.7142857142857143	0.7777777777777778	0.8333333333333334	0.5714285714285714	0.875	0.5	0.16666666666666666	1.0	0.2857142857142857	
American Crow (<em class="sci">Corvus brachyrhynchos</em>)	1.0	0.5	0.875	0.5714285714285714	0.8571428571428571	0.6666666666666666	0.5714285714285714	0.6666666666666666	0.8571428571428571	0.8333333333333334	0.7692307692307693	0.8333333333333334	0.8	0.9	0.875	0.6785714285714286	0.8888888888888888	0.8333333333333334	0.75	0.5909090909090909	0.8	0.8125	0.7142857142857143	0.5833333333333334	0.5	0.5	0.8571428571428571	1.0	0.75	0.6363636363636364	0.5	0.7142857142857143	0.9090909090909091	0.625	0.6363636363636364	0.8571428571428571	0.6666666666666666	0.9	0.45454545454545453	0.6428571428571429	0.7777777777777778	0.5	0.42857142857142855	0.875	1.0	0.16666666666666666	1.0	0.8571428571428571	
crow sp. (<em class="sci">Corvus sp. (crow sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Raven (<em class="sci">Corvus corax</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	
Horned Lark (<em class="sci">Eremophila alpestris</em>)	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.14285714285714285	0.3333333333333333	0.0	0.16666666666666666	0.15384615384615385	0.08333333333333333	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.16666666666666666	0.0	0.0	
Northern Rough-winged Swallow (<em class="sci">Stelgidopteryx serripennis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.15	0.13636363636363635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Purple Martin (<em class="sci">Progne subis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tree Swallow (<em class="sci">Tachycineta bicolor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.2916666666666667	0.25	0.3333333333333333	0.20833333333333334	0.2	0.18181818181818182	0.13333333333333333	0.0	0.14285714285714285	0.4166666666666667	0.125	0.0	0.0	0.0	0.0	0.18181818181818182	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bank Swallow (<em class="sci">Riparia riparia</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Barn Swallow (<em class="sci">Hirundo rustica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08333333333333333	0.35714285714285715	0.8333333333333334	0.75	0.85	0.9090909090909091	0.7333333333333333	0.5625	0.8571428571428571	1.0	0.625	1.0	1.0	1.0	1.0	0.6363636363636364	0.8	0.35714285714285715	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cliff Swallow (<em class="sci">Petrochelidon pyrrhonota</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swallow sp. (<em class="sci">Hirundinidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-capped Chickadee (<em class="sci">Poecile atricapillus</em>)	1.0	0.75	0.875	1.0	1.0	0.8333333333333334	0.8571428571428571	1.0	0.8571428571428571	0.75	0.9230769230769231	0.7916666666666666	0.8	0.7	0.875	0.7142857142857143	0.9444444444444444	0.9166666666666666	0.9	0.3181818181818182	0.26666666666666666	0.4375	0.6428571428571429	0.6666666666666666	0.5	1.0	0.8571428571428571	0.75	1.0	0.6363636363636364	0.6	0.6428571428571429	0.6363636363636364	0.75	0.6363636363636364	0.7142857142857143	0.8333333333333334	0.9	0.9090909090909091	0.9285714285714286	0.7777777777777778	0.8333333333333334	0.8571428571428571	1.0	1.0	0.6666666666666666	1.0	1.0	
Tufted Titmouse (<em class="sci">Baeolophus bicolor</em>)	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-breasted Nuthatch (<em class="sci">Sitta canadensis</em>)	0.16666666666666666	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.16666666666666666	0.0	0.08333333333333333	0.0	0.041666666666666664	0.06666666666666667	0.15	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.14285714285714285	
White-breasted Nuthatch (<em class="sci">Sitta carolinensis</em>)	0.8333333333333334	0.25	0.625	0.8571428571428571	0.42857142857142855	0.6666666666666666	0.7142857142857143	0.5	0.7142857142857143	0.5833333333333334	0.38461538461538464	0.5416666666666666	0.2	0.5	0.5	0.25	0.3888888888888889	0.3333333333333333	0.3	0.18181818181818182	0.06666666666666667	0.1875	0.42857142857142855	0.5	0.375	0.0	0.2857142857142857	0.25	0.375	0.18181818181818182	0.4	0.14285714285714285	0.18181818181818182	0.5	0.18181818181818182	0.21428571428571427	0.3333333333333333	0.4	0.36363636363636365	0.5	0.5555555555555556	0.6666666666666666	0.2857142857142857	0.625	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.5714285714285714	
Brown Creeper (<em class="sci">Certhia americana</em>)	0.0	0.0	0.125	0.0	0.0	0.16666666666666666	0.14285714285714285	0.16666666666666666	0.14285714285714285	0.08333333333333333	0.0	0.041666666666666664	0.13333333333333333	0.2	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.09090909090909091	0.07142857142857142	0.1111111111111111	0.0	0.14285714285714285	0.375	0.0	0.0	0.0	0.14285714285714285	
House Wren (<em class="sci">Troglodytes aedon</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10714285714285714	0.4444444444444444	0.5416666666666666	0.45	0.45454545454545453	0.5333333333333333	0.6875	0.6428571428571429	0.8333333333333334	0.75	1.0	0.7142857142857143	0.75	0.5	0.5454545454545454	0.5	0.35714285714285715	0.36363636363636365	0.625	0.2727272727272727	0.07142857142857142	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Winter Wren (<em class="sci">Troglodytes hiemalis</em>)	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2	0.09090909090909091	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	
Carolina Wren (<em class="sci">Thryothorus ludovicianus</em>)	0.5	0.0	0.5	0.42857142857142855	0.2857142857142857	0.16666666666666666	0.2857142857142857	0.0	0.42857142857142855	0.08333333333333333	0.23076923076923078	0.4583333333333333	0.8	0.5	0.625	0.6071428571428571	0.8888888888888888	0.6666666666666666	0.55	0.13636363636363635	0.6	0.3125	0.7142857142857143	0.5	0.625	0.5	0.7142857142857143	0.75	0.75	0.5454545454545454	0.4	0.42857142857142855	0.5454545454545454	0.5	0.2727272727272727	0.5	0.6666666666666666	0.6	0.7272727272727273	0.5714285714285714	0.7777777777777778	0.5	0.5714285714285714	0.5	0.6666666666666666	0.5	0.6666666666666666	0.5714285714285714	
wren sp. (<em class="sci">Troglodytidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.03571428571428571	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-gray Gnatcatcher (<em class="sci">Polioptila caerulea</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.03571428571428571	0.3888888888888889	0.2916666666666667	0.4	0.13636363636363635	0.06666666666666667	0.125	0.0	0.16666666666666666	0.0	0.25	0.2857142857142857	0.625	0.75	0.0	0.2	0.07142857142857142	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Golden-crowned Kinglet (<em class="sci">Regulus satrapa</em>)	0.5	0.0	0.25	0.2857142857142857	0.0	0.3333333333333333	0.14285714285714285	0.0	0.0	0.08333333333333333	0.0	0.125	0.26666666666666666	0.4	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.3	0.36363636363636365	0.42857142857142855	0.1111111111111111	0.0	0.0	0.375	0.16666666666666666	0.16666666666666666	0.0	0.42857142857142855	
Ruby-crowned Kinglet (<em class="sci">Regulus calendula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.20833333333333334	0.2857142857142857	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.6	0.09090909090909091	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Bluebird (<em class="sci">Sialia sialis</em>)	0.16666666666666666	0.0	0.0	0.42857142857142855	0.42857142857142855	0.16666666666666666	0.14285714285714285	0.16666666666666666	0.2857142857142857	0.4166666666666667	0.38461538461538464	0.5416666666666666	0.3333333333333333	0.4	0.2916666666666667	0.17857142857142858	0.3888888888888889	0.08333333333333333	0.15	0.13636363636363635	0.06666666666666667	0.0	0.07142857142857142	0.25	0.0	0.0	0.0	0.125	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.18181818181818182	0.35714285714285715	0.1111111111111111	0.5	0.2857142857142857	0.375	0.3333333333333333	0.0	0.0	0.0	
Veery (<em class="sci">Catharus fuscescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swainson's Thrush (<em class="sci">Catharus ustulatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.05	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hermit Thrush (<em class="sci">Catharus guttatus</em>)	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.15	0.125	0.07142857142857142	0.1111111111111111	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
